"5120-01-250-8066","Hardware","Socket Screwdriver Bit Set (Hex Tip)","This set consists of (7) regular length pieces: 6mm, 8mm, 10mm, 12mm, 14mm, 17mm & 19mm. Socket with bit set. The hardened steel tool has a plated or treated surface for corrosion resistance. Socket has a square female drive that attaches firmly to a sock",151.29,"EA","H"
"5120-01-264-6123","Hardware","Combination Wrench (Box and Open End)","Style A: Regular Length. Combination box and open end style wrench has a thin wall 15° offset box end and a 15° head angle on the open end. The open end is suitable for use on hexagonal and square headed bolts and nuts. Box end is 12 point. AS954.",15.62,"EA","H"
"5120-01-265-3846","Hardware","Hex Key (Screwdriver Type)","This screwdriver type hex key (Allen) wrench tightens and loosens fasteners with a hexagonal hole in the screw head. It is made of a tempered steel alloy and has an amber or yellow transparent plastic screwdriver handle. ASME B18.3.",2.33,"EA","H"
"5120-01-269-7243","Hardware","Wheel Dresser","Grinding wheel dresser removes glaze & trues up wheel. New cutters can be easily inserted. Hood protects cutter.",15.33,"EA","H"
"5120-01-276-7016","Hardware","Torque Wrench","Capacity: 30 to 250 foot pounds in 1 foot pound increments. Type 1: Bi-directional. Class 2: Ratchet Head (Precise Clockwise Torque). Insure the proper torque is applied to all your nuts and bolts with these torque wrenches. The operation can be operated ",162.53,"EA","H"
"5120-01-278-8257","Hardware","Inspection Mirror","Circular mirror has silvered glass and a metal back. Ball swivel joint mirror has a secure knurled handgrip. Ball joint adjustment holds mirror in preset position or angle. Chromium or nickel plated steel mirror comes with handle and angle adjustment mech",4.27,"EA","H"
"5120-01-279-4788","Hardware","Open End Wrench","This wrench has single open end. The thin head is perfect for use on hexagonal & square jam nuts & in confined spaces. Described by (Wrench Size, Length).",95.7,"EA","H"
"5120-01-283-0320","Hardware","Blind Riveter (Manual)","Straight head type; rivit size: 0.125"" to 0.187"".  Universal nose piece for M7885 cherrymax style blind rivets; (1) adapter sleeve & (1) adapter puller shaft provided. Installs bolts and rivets. Has interchangeable screw on pulling heads. Designed for con",894.23,"EA","H"
"5120-01-289-4310","Hardware","Blind Riveter (Manual, Heavy Duty)","NOTE: This riveter does not set Monel rivets. Heavy-duty riveter installs and sets smooth mandrel steel, aluminum, copper or brass domed and countersunk rivets. Furnished with four interchangeable nosepieces in sizes 3/32, 1/8, 5/32 and 3/16"". Comes with ",39.77,"EA","H"
"5120-01-292-6225","Hardware","Torque Wrench (Screwdriver Adjustable)","Range: 6 to 36 in.-lbs.; Graduation: 1 in.-lb.; 1/4"" internal hexagonal shape. Features: screwdriver style handgrip, right and left hand torque,  micrometer adjustment, retracting ""quick release"" bit retainer, cam-over (free wheel) signal method. Consolid",190.01,"EA","H"
"5120-01-292-9849","Hardware","Socket Wrench","Expanded diameter wrenching pocket at each end, with transverse 3/4 inch hexagon ""thru"" opening for wrench handle insertion.",36.54,"EA","H"
"5120-01-296-4235","Hardware","Torque Wrench Multiplier","Insure the proper torque is applied to all your nuts and bolts with these torque multiplying wrenches. Described by: (Input x Output Drive, Power Ratio).",1848.72,"EA","H"
"5120-01-297-7901","Hardware","Hex Key (T-Shaped)","This T-handle hex key (Allen) wrench tightens & loosens fasteners with a hexagonal hole in the screw head. It is made of a tempered steel alloy. B18.3.",1.24,"EA","H"
"5120-01-298-6121","Hardware","Spatula","Use for efficiency in scraping, glazing work and application of wood fillers and putty like materials. Described by (Blade Length x Width, Flexibility).",3.55,"EA","H"
"5120-01-307-5143","Hardware","Wire Twister Pliers","Produces 2-1/2 revolutions per pull. Type: I (Right-hand twist), Class: 2 (Hand Push twist rod return), Style: A (Serrated wire clamping jaws) Pliers provide fast twisting of safety wire and are excellent for work on critical components of aircraft and ve",69.93,"EA","H"
"5120-01-313-4096","Hardware","Inspection Mirror","Circular mirror has silvered glass and a metal back. Ball swivel joint mirror has a secure knurled handgrip. Ball joint adjustment holds mirror in preset position or angle. Chromium or nickel plated steel mirror comes with handle and angle adjustment mech",3.55,"EA","H"
"5120-01-313-4097","Hardware","Inspection Mirror","IAW GSA Purchase Description 5120-01-313-4097. Chromium or nickel plated steel mirror comes with handle and angle adjustment mechanism. Reflecting surface is free from distortion and blind spots. Enables clear visual examination of locations otherwise dif",4.27,"EA","H"
"5120-01-313-4761","Hardware","Jack","Used for the M871 Semitrailer. Extended height; 18 inches; load capacity; 12 tons. 3/4 inch to 1 inch axle saddle welded to top of jack.",128.83,"EA","H"
"5120-01-322-1123","Hardware","Metric Socket (Long Length)","Type I: Metric Sockets, Class 1: Metric Sockets, Style C: Long Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS955",8.73,"EA","H"
"5120-01-330-3822","Hardware","Electrical Contact Tool (Installing and Removing)","Type 3: Combination Installing & Removal Tool. Class 2: Rear Release of Contacts. Composition B: Plastic. These installing and removal tools are for installing and removing electrical contacts used in connectors and other electrical and electronic compone",0.69,"EA","H"
"5120-01-333-9857","Hardware","Machinist's Scriber","Fixed straight & 90° points. Scratch awl/pick is useful for scribing, alignment, O-ring removal, piercing holes in leather or fabric and cleaning nooks / crannies.",27.49,"BX","H"
"5120-01-334-9862","Hardware","Miniature Pick Set","Four-piece set with screwdriver type handles (3-1/8"" L blade, 5-7/8"" L overall): awl, hook tool, 45° bent tip tool, 90° bent tip tool. Scratch awl/pick is useful for scribing, alignment, O-ring removal, piercing holes in leather or fabric and cleaning noo",10.21,"SE","H"
"5120-01-335-0695","Hardware","Socket Wrench Size Adapter","This versatile attachment enables a socket of one drive size to be used with a handle or extension of another drive size. Designed only for use with hand tools, no impacts. ASME  B107.10.",2.15,"EA","H"
"5120-01-335-0696","Hardware","Socket Wrench Size Adapter","This versatile attachment enables a socket of one drive size to be used with a handle or extension of another drive size. Designed only for use with hand tools, no impacts. ASME  B107.10.",3.7,"EA","H"
"5120-01-335-0700","Hardware","Socket Wrench Size Adapter","This versatile attachment enables a socket of one drive size to be used with a handle or extension of another drive size. Designed only for use with hand tools, no impacts. ASME  B107.10.",8.6,"EA","H"
"5120-01-335-0701","Hardware","Socket Wrench Size Adapter","This versatile attachment enables a socket of one drive size to be used with a handle or extension of another drive size. Designed only for use with hand tools, no impacts. ASME  B107.10.",8.6,"EA","H"
"5120-01-335-0704","Hardware","Spanner Wrench","Type 1: Adjustable Hook Type. Class 1: Fixed Pivot Point. These spanner wrenches are made of steel and are used for machinery maintenance and for tightening / loosening hose couplings and hydrant caps. Described by (Capacity, Length) GGG-W-665.",18.55,"EA","H"
"5120-01-335-0712","Hardware","Socket Wrench (Reversible Ratchet)","Style B: Fine Action. This socket wrench has a steel handle, round shank and comfortable handgrip. The male drive tang has a spring loaded steel ball to hold sockets and attachments firmly in place. It has a gear head or clutch type ratchet mechanism and ",46.1,"EA","H"
"5120-01-335-0713","Hardware","Socket Wrench (Breaker Bar)","This steel breaker bar has a round shank and comfortable handgrip. The square male drive tang has a spring loaded steel ball to hold the sockets and attachments firmly. The hinged socket drive is permanently attached to the handle fork and can move 90° to",28.04,"EA","H"
"5120-01-335-0714","Hardware","Socket Wrench (Breaker Bar)","This steel breaker bar has a round shank and comfortable handgrip. The square male drive tang has a spring loaded steel ball to hold the sockets and attachments firmly. The hinged socket drive is permanently attached to the handle fork and can move 90° to",13.78,"EA","H"
"5120-01-335-0717","Hardware","Socket Wrench (Reversible Ratchet)","Style B: Fine Action. This socket wrench has a steel handle, round shank and comfortable handgrip. The male drive tang has a spring loaded steel ball to hold sockets and attachments firmly in place. It has a gear head or clutch type ratchet mechanism and ",40.11,"EA","H"
"5120-01-335-0719","Hardware","Socket Wrench (Reversible Ratchet)","Style B: Fine Action. This socket wrench has a steel handle, round shank and comfortable handgrip. The male drive tang has a spring loaded steel ball to hold sockets and attachments firmly in place. It has a gear head or clutch type ratchet mechanism and ",62.25,"EA","H"
"5120-01-335-0721","Hardware","Socket Wrench (Reversible Ratchet)","Style B: Fine Action. This socket wrench has a steel handle, round shank and comfortable handgrip. The male drive tang has a spring loaded steel ball to hold sockets and attachments firmly in place. It has a gear head or clutch type ratchet mechanism and ",40.91,"EA","H"
"5120-01-335-0731","Hardware","Speeder Handle (Brace)","This steel speeder brace handle has a round shank and comfortable handgrip. The male square drive tang has a spring-loaded steel ball to hold onto sockets & attachments. It also has a single revolving handgrip that rotates freely at the butt end of the ha",10.32,"EA","H"
"5120-01-335-0748","Hardware","Socket Wrench Handle (Spin-Type)","This chrome plated screwdriver type socket wrench works perfectly for driving nuts. The round steel shank is secured in a plastic handle & has a square drive tang, with a spring loaded steel ball, to hold sockets & attachments securely.  ASME B107.10.",8.59,"EA","H"
"5120-01-335-0752","Hardware","Socket Wrench Handle (Spin-Type)","This chrome plated screwdriver type socket wrench works perfectly for driving nuts. The round steel shank is secured in a plastic handle & has a square drive tang, with a spring loaded steel ball, to hold sockets & attachments securely.  ASME B107.10.",2.74,"EA","H"
"5120-01-335-0759","Hardware","Socket Wrench (Breaker Bar)","This steel breaker bar has a round shank and comfortable handgrip. The square male drive tang has a spring loaded steel ball to hold the sockets and attachments firmly. The hinged socket drive is permanently attached to the handle fork and can move 90° to",5.96,"EA","H"
"5120-01-335-0766","Hardware","Socket Wrench (Reversible Ratchet)","Style B: Fine Action. This socket wrench has a steel handle, round shank and comfortable handgrip. The male drive tang has a spring loaded steel ball to hold sockets and attachments firmly in place. It has a gear head or clutch type ratchet mechanism and ",38.27,"EA","H"
"5120-01-335-0795","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",3.19,"EA","H"
"5120-01-335-0796","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",1.98,"EA","H"
"5120-01-335-0798","Hardware","Socket (Flank Drive)","These high strength, specialty sockets and wrenches are perfect for getting into those narrow spaces. Described by: (Size, Drive size, Coating).",2.37,"EA","H"
"5120-01-335-0801","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",2.76,"EA","H"
"5120-01-335-0803","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",2.74,"EA","H"
"5120-01-335-0805","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",3.7,"EA","H"
"5120-01-335-0812","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",4.57,"EA","H"
"5120-01-335-0814","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",4.03,"EA","H"
"5120-01-335-0816","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",5.27,"EA","H"
"5120-01-335-0817","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",5.5,"EA","H"
"5120-01-335-0818","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",5.75,"EA","H"
"5120-01-335-0819","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",6.27,"EA","H"
"5120-01-335-0823","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",40.17,"EA","H"
"5120-01-335-0828","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",4.29,"EA","H"
"5120-01-335-0829","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",4.32,"EA","H"
"5120-01-335-0833","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",13.43,"EA","H"
"5120-01-335-0841","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",4.45,"EA","H"
"5120-01-335-0843","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",3.94,"EA","H"
"5120-01-335-0846","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",3.96,"EA","H"
"5120-01-335-0848","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",4.4,"EA","H"
"5120-01-335-0849","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",4.4,"EA","H"
"5120-01-335-0850","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",4.4,"EA","H"
"5120-01-335-0857","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",3.14,"EA","H"
"5120-01-335-0861","Hardware","Socket (Universal Joint)","Type 3: Universal Joint Sockets (6 Point). When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Coating",15.25,"EA","H"
"5120-01-335-0862","Hardware","Socket (Universal Joint)","Type 3: Universal Joint Sockets (6 Point). When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Coating",15.25,"EA","H"
"5120-01-335-0863","Hardware","Socket (Universal Joint)","Type 3: Universal Joint Sockets (6 Point). When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Coating",15.25,"EA","H"
"5120-01-335-0864","Hardware","Socket (Universal Joint)","Type 3: Universal Joint Sockets (6 Point). When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Coating",15.33,"EA","H"
"5120-01-335-0865","Hardware","Socket (Universal Joint)","Type 3: Universal Joint Sockets (6 Point). When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Coating",15.53,"EA","H"
"5120-01-335-0866","Hardware","Socket (Universal Joint)","Type 3: Universal Joint Sockets (6 Point). When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Coating",15.61,"EA","H"
"5120-01-335-0871","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",4.63,"EA","H"
"5120-01-335-0874","Hardware","Socket (Regular Length)","Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",1.97,"EA","H"
"5120-01-335-0877","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",2.29,"EA","H"
"5120-01-335-0878","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",2.39,"EA","H"
"5120-01-335-0880","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",2.39,"EA","H"
"5120-01-335-0882","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",2.39,"EA","H"
"5120-01-335-0885","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",2.76,"EA","H"
"5120-01-335-0886","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",3.01,"EA","H"
"5120-01-335-0891","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",23.52,"EA","H"
"5120-01-335-0892","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",4.63,"EA","H"
"5120-01-335-0893","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",22.1,"EA","H"
"5120-01-335-0894","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",27.29,"EA","H"
"5120-01-335-0895","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",21.85,"EA","H"
"5120-01-335-0896","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",22.43,"EA","H"
"5120-01-335-0898","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",3.27,"EA","H"
"5120-01-335-0901","Hardware","Socket (Long Length)","Type1: Sockets (6 Point). Class 2: Long Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Co",4.05,"EA","H"
"5120-01-335-0903","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",11.89,"EA","H"
"5120-01-335-0905","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",3.14,"EA","H"
"5120-01-335-0907","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",2.52,"EA","H"
"5120-01-335-0909","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",2.52,"EA","H"
"5120-01-335-0910","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",2.52,"EA","H"
"5120-01-335-0911","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",2.91,"EA","H"
"5120-01-335-0913","Hardware","Socket (Universal Joint)","Type 3: Universal Joint Sockets (6 Point). When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size, Coating",15.44,"EA","H"
"5120-01-335-0914","Hardware","Socket (Regular Length)","Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",1.66,"EA","H"
"5120-01-335-0917","Hardware","Socket (Regular Length)","Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",1.66,"EA","H"
"5120-01-335-0919","Hardware","Socket (Regular Length)","Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",1.66,"EA","H"
"5120-01-335-0925","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",18.04,"EA","H"
"5120-01-335-0930","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",1.3,"EA","H"
"5120-01-335-0931","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",1.3,"EA","H"
"5120-01-335-0934","Hardware","Socket (Regular Length)","Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",6.6,"EA","H"
"5120-01-335-0941","Hardware","Socket (Regular Length)","Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",1.83,"EA","H"
"5120-01-335-0942","Hardware","Socket (Regular Length)","Type 1: Sockets (6 Point). Class 1: Regular Length. When working in a confined area with limited turning space, you need a socket to fix that problem. All have square drives. These are for hand use only, no impact wrenches. Described by: (Drive Size, Size",1.66,"EA","H"
"5120-01-335-0945","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",1.3,"EA","H"
"5120-01-335-0946","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",1.3,"EA","H"
"5120-01-335-0947","Hardware","Socket (Regular Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style A: Standard Length. These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS95",1.3,"EA","H"
"5120-01-335-0966","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",2.32,"EA","H"
"5120-01-335-0968","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",2.37,"EA","H"
"5120-01-335-0969","Hardware","Socket (Long Length)","Type I: Sockets, Class 1: Sockets (12 Point), Style  B: Long Length These high strength, 12 point, thin wall sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Drive size, Size, Coating) AS954.",2.27,"EA","H"
"5120-01-335-0981","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",17.78,"EA","H"
"5120-01-335-0982","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",22.57,"EA","H"
"5120-01-335-0985","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",18.04,"EA","H"
"5120-01-335-0986","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",18.04,"EA","H"
"5120-01-335-0987","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",18.04,"EA","H"
"5120-01-335-0988","Hardware","Socket (Universal Joint)","These high strength, 12 point, thin wall, universal sockets are perfect for getting into those narrow spaces that the regular sockets can't get to. Described by: (Size, Drive Size, Coating) AS954.",17.4,"EA","H"
